2026-07-02 12:24:06,168 | INFO     | [OrchestratorAgent] pipeline_start
2026-07-02 12:24:06,173 | INFO     | [OrchestratorAgent] load_rules_start
2026-07-02 12:24:06,619 | INFO     | [OrchestratorAgent] load_rules_complete | out: 142 rules loaded
2026-07-02 12:24:06,621 | INFO     | [OrchestratorAgent] parse_start | in: ['data\\sample_c_files\\data.c', 'data\\sample_c_files\\device.c', 'data\\sample_c_files\\main.c', 'data\\sample_c_files
2026-07-02 12:24:06,665 | INFO     | [OrchestratorAgent] parse_file | in: data\sample_c_files\data.c | out: 5 nodes extracted
2026-07-02 12:24:06,674 | INFO     | [OrchestratorAgent] parse_file | in: data\sample_c_files\device.c | out: 5 nodes extracted
2026-07-02 12:24:06,703 | INFO     | [OrchestratorAgent] parse_file | in: data\sample_c_files\main.c | out: 5 nodes extracted
2026-07-02 12:24:06,726 | INFO     | [OrchestratorAgent] parse_file | in: data\sample_c_files\shared.h | out: 4 nodes extracted
2026-07-02 12:24:06,728 | INFO     | [OrchestratorAgent] parse_complete | out: 19 total AST nodes
2026-07-02 12:24:06,728 | INFO     | [OrchestratorAgent] analyze_file | in: data\sample_c_files\data.c: 5 nodes
2026-07-02 12:24:06,728 | INFO     | [RuleRetrievalAgent] retrieve_rules | in: node=UnionUsage line=3
2026-07-02 12:24:06,734 | INFO     | [RuleRetrievalAgent] retrieve_complete | out: 6 rules matched: ['18.4', '6.2', '6.3', '6.4', '18.1', '6.1']
2026-07-02 12:24:06,755 | INFO     | [RelevanceFilterAgent] filter_complete | in: node=UnionUsage line=3 | out: In: 6, Out: 2 ['18.4', '18.1'], Filtered: 4 ['6.2', '6.3', '6.4', '6.1']
2026-07-02 12:24:06,755 | INFO     | [ControlFlowAgent] violations_found | in: node=UnionUsage line=3 | out: 1 violations: ['18.4']
2026-07-02 12:24:06,755 | INFO     | [RuleRetrievalAgent] retrieve_rules | in: node=FunctionDefinition line=4
2026-07-02 12:24:06,761 | INFO     | [RuleRetrievalAgent] retrieve_complete | out: 6 rules matched: ['3.5', '8.4', '16.5', '16.7', '16.8', '3.2']
2026-07-02 12:24:06,780 | INFO     | [RelevanceFilterAgent] filter_complete | in: node=FunctionDefinition line=4 | out: In: 6, Out: 0 [], Filtered: 6 ['3.5', '8.4', '16.5', '16.7', '16.8', '3.2']
2026-07-02 12:24:06,781 | INFO     | [RuleRetrievalAgent] retrieve_rules | in: node=FunctionCall line=4
2026-07-02 12:24:06,786 | INFO     | [RuleRetrievalAgent] retrieve_complete | out: 6 rules matched: ['12.8', '12.9', '12.11', '16.5', '16.7', '16.8']
2026-07-02 12:24:06,806 | INFO     | [RelevanceFilterAgent] filter_complete | in: node=FunctionCall line=4 | out: In: 6, Out: 0 [], Filtered: 6 ['12.8', '12.9', '12.11', '16.5', '16.7', '16.8']
2026-07-02 12:24:06,806 | INFO     | [RuleRetrievalAgent] retrieve_rules | in: node=ReturnStatement line=5
2026-07-02 12:24:06,812 | INFO     | [RuleRetrievalAgent] retrieve_complete | out: 6 rules matched: ['16.5', '16.7', '16.8', '14.3', '16.6', '16.10']
2026-07-02 12:24:06,827 | INFO     | [RelevanceFilterAgent] filter_complete | in: node=ReturnStatement line=5 | out: In: 6, Out: 0 [], Filtered: 6 ['16.5', '16.7', '16.8', '14.3', '16.6', '16.10']
2026-07-02 12:24:06,828 | INFO     | [RuleRetrievalAgent] retrieve_rules | in: node=FunctionCall line=5
2026-07-02 12:24:06,831 | INFO     | [RuleRetrievalAgent] retrieve_complete | out: 6 rules matched: ['12.8', '12.9', '12.11', '16.5', '16.7', '16.8']
